brand2,model2,market_segment,source
AION,AION ES,C-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AION,AION UT,B-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AION,AION V,B-SUV,Operator override 2026-09-25 (was C-SUV); Autolifethailand segment naming
AION,AION Y,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AION,HYPTEC HT,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AION,M8,MPV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AVATR,AVATR 07,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AVATR,AVATR 11,D-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD ATTO 1,A-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD ATTO 2,B-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD ATTO 3,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD DOLPHIN,B-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD M6,MPV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD SEAL,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD SEAL 5 DM-i,C-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD SEAL 6,C-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD SEALION 6,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD SEALION 7,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD SEALION5 DM-i PREMIUM,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
BYD,BYD SEALION6 DM-i PREMIUM,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
CHERY,V23,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
DENZA,DENZA D9,MPV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
Deepal + Changan,E07,D-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
Deepal + Changan,HUNTER K50,Pickup,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
Deepal + Changan,L07,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
Deepal + Changan,LUMIN,A-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
Deepal + Changan,NEVO Q05,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
Deepal + Changan,S05 BEV,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
Deepal + Changan,S05 REEV,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
Deepal + Changan,S07,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GEELY,EX2,B-Segment,Operator override 2026-09-25 (was B-SUV); Autolifethailand segment naming
GEELY,EX5,B-SUV,Operator override 2026-09-25 (was C-SUV); Autolifethailand segment naming
GWM,300 HYBRID,PPV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,500 HYBRID,D-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,GOOD CAT,B-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,GWM TANK 300,PPV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,GWM TANK 500,D-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,H6 HEV PRO,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,H6 HEV ULTRA,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,H6 HYBRID,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,H6 PLUG-IN HYBRID,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,JOLION HYBRID,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,ORA 07,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,ORA 5,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
GWM,WEY G9 PLUG-IN HYBRID,D-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
HYUNDAI,IONIQ5,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
HYUNDAI,KONA EV,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
JAECOO,5 EV,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
JAECOO,5 EV MAX+,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
JAECOO,6 EV,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
JAECOO,6 EV 2WD MAX,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
JAECOO,7 SHS Max,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
KIA,EV5,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
KIA,EV9,D-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
LEAPMOTOR,B10,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
LEAPMOTOR,C10,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MG,IM5,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MG,IM6,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MG,MAXUS 7,MPV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MG,MAXUS 9,MPV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MG,MG3,B-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MG,MG4 ELECTRIC,B-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MG,MG5,C-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MG,S5 EV,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MG,URBAN,B-Segment,Operator override 2026-09-09 (was A-Segment); Autolifethailand segment naming
MG,ZS,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MINI,Aceman SE,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MINI,Cooper SE,B-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MINI,Countryman S ALL4,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
MINI,Countryman SE,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
Mercedes-Benz,CLA 250+ electric,C-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
NETA,NETA V,B-Segment,Operator override 2026-09-25 (was B-SUV); Autolifethailand segment naming
NETA,NETA V-II,B-Segment,Operator override 2026-09-25 (was B-SUV); Autolifethailand segment naming
NETA,NETA X,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
OMODA,C5 EV,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
OMODA,C5 EV MAX+,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
RIDDARA,HORIZON,Pickup,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
RIDDARA,RD6,Pickup,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
TESLA,MODEL 3,C-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
TESLA,MODEL X,D-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
TESLA,MODEL Y,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
VOLVO,EC40,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
VOLVO,EX30,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
VOLVO,EX40,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
VOLVO,EX90,D-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
VOLVO,XC40,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
WULING,Air EV,A-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
WULING,Bingou,A-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
WULING,DARION EV,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
WULING,PORTA EV,MPV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
XPENG,G6,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
XPENG,X9,MPV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
ZEEKR,ZEEKR 009,MPV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
ZEEKR,ZEEKR 7X,C-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
ZEEKR,ZEEKR X,B-SUV,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A1 SB 35 TFSI S line,B-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A1 SPORTBACK 1.4 TFSI,B-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A3 2.0TDI S LINE SALOON MANUAL,C-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A3 SALOON 35 TFSI,C-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A3 SB 35 TFSI S line,C-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A4 40 TFSI S line,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A4 40 TFSI S line IB,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A4 AV 45 TFSI q S line BE,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A4 AV 45 TFSI q S line IB,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A4 BLACK EDITION 35 TFSI,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 2.0T FSI COUPE,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 Avant e-hybrid q Tech Plus,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 Avant e-hybrid q Tech Pro,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 Coupe 40 TFSI,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 Coupe 45 TFSI q S line,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 CP 40 TFSI S line,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 CP 40 TFSI S line eo,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 CP 45 TFSI q S line BE,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 CP 45 TFSI q S line eo,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 SB 40 TFSI,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 SB 40 TFSI S line,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 SB 40 TFSI S line eo,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 SB 45 TFSI q S line,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 SB 45 TFSI q S line BE,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 SB 45 TFSI q S line eo,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 SB e-hybrid q Tech Plus,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A5 SB e-hybrid q Tech Pro,D-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A6 2.0 TDI,E-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A6 40 TFSI S line,E-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A6 50 TFSI,E-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A6 AV 40 TFSI S line,E-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A6 AV 45 TFSI q S line BE,E-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A6 AV 55 TFSI q S line,E-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
AUDI,A7 SB 45 TFSI,E-Segment,Autolifethailand segment naming (B-SUV/C-SUV/D-Segment convention); assigned by body class and price band
